date,district,grade,highest_price_rs_kg,average_price_rs_kg
09.02.2016,Matara,C-5 Sp,1800.0,1800.0
09.02.2016,Galle,H-2,1470.0,1460.0
09.02.2016,Matara,C-4,1600.0,1567.0
09.02.2016,Matara,M-5,1550.0,1513.0
09.02.2016,Galle,H-1,1500.0,1490.0
09.02.2016,Galle,M-4,1540.0,1530.0
09.02.2016,Galle,M-5,1560.0,1555.0
09.02.2016,Matara,C-5,1700.0,1647.0
09.02.2016,Hambantota,Alba,2100.0,2100.0
09.02.2016,Average Price,C-4,1600.0,1474.63
09.02.2016,Hambantota,C-5,1600.0,1600.0
09.02.2016,Average Price,Heen,1400.0,1241.5
09.02.2016,Average Price,H-Faq,1380.0,1320.0
09.02.2016,Average Price,H-2,1470.0,1330.83
09.02.2016,Average Price,H-1,1520.0,1389.17
09.02.2016,Average Price,Gorosu,1000.0,825.0
09.02.2016,Average Price,M-5,1560.0,1437.5
09.02.2016,Galle,C-4,1580.0,1580.0
09.02.2016,Average Price,C-5,1700.0,1589.57
09.02.2016,Hambantota,C-5 Sp,1700.0,1700.0
09.02.2016,Average Price,Alba,2200.0,2063.2
09.02.2016,Hambantota,H-2,1460.0,1450.0
09.02.2016,Hambantota,H-1,1520.0,1520.0
09.02.2016,Hambantota,C-4,1560.0,1560.0
09.02.2016,Average Price,M-4,1540.0,1395.5
09.02.2016,Average Price,C-5 Sp,1850.0,1725.83
09.02.2016,Galle,C-5,1660.0,1655.0
09.02.2016,Kalutara,C-4,1450.0,1440.0
09.02.2016,Ratnapura,Alba,2100.0,1966.0
09.02.2016,Ratnapura,C-5 Sp,1700.0,1650.0
09.02.2016,Ratnapura,C-5,1550.0,1525.0
09.02.2016,Ratnapura,C-4,1500.0,1450.0
09.02.2016,Badulla,C-5,1500.0,1500.0
09.02.2016,Ratnapura,H-2,1400.0,1275.0
09.02.2016,Ratnapura,H-1,1400.0,1350.0
09.02.2016,Ratnapura,M-4,1400.0,1362.0
09.02.2016,Ratnapura,M-5,1400.0,1362.0
09.02.2016,Badulla,C-4,1450.0,1450.0
09.02.2016,Badulla,Heen,1400.0,1350.0
09.02.2016,Badulla,Gorosu,900.0,900.0
09.02.2016,Kurunegala,Heen,1200.0,1133.0
09.02.2016,Kurunegala,Gorosu,800.0,750.0
09.02.2016,Gampaha,Gorosu,1000.0,825.0
09.02.2016,Colombo,C-5,1700.0,1700.0
09.02.2016,Colombo,C-4,1600.0,1600.0
09.02.2016,Colombo,H-1,1400.0,1400.0
09.02.2016,Colombo,H-2,1350.0,1350.0
09.02.2016,Gampaha,C-4,1300.0,1150.0
09.02.2016,Kalutara,C-5 Sp,1650.0,1630.0
09.02.2016,Kalutara,Alba,2000.0,2000.0
09.02.2016,Galle,Alba,2200.0,2150.0
09.02.2016,Kalutara,C-5,1500.0,1500.0
09.02.2016,Galle,C-5 Sp,1850.0,1825.0
09.02.2016,Kalutara,M-5,1350.0,1320.0
09.02.2016,Kalutara,M-4,1210.0,1200.0
09.02.2016,Kalutara,H-1,1150.0,1110.0
09.02.2016,Kalutara,H-2,1050.0,1020.0
09.02.2016,Colombo,C-5 Sp,1750.0,1750.0
16.02.2016,Average Price,C-4,1620.0,1477.5
16.02.2016,Galle,C-5,1650.0,1650.0
16.02.2016,Matara,M-5,1570.0,1560.0
16.02.2016,Matara,C-5,1650.0,1625.0
16.02.2016,Matara,C-5 Sp,1800.0,1725.0
16.02.2016,Matara,H-1,1500.0,1493.0
16.02.2016,Matara,M-4,1540.0,1530.0
16.02.2016,Matara,C-4,1600.0,1580.0
16.02.2016,Galle,C-4,1620.0,1620.0
16.02.2016,Average Price,Gorosu,1000.0,813.25
16.02.2016,Average Price,M-5,1570.0,1381.0
16.02.2016,Hambantota,Alba,2100.0,2100.0
16.02.2016,Hambantota,C-4,1570.0,1570.0
16.02.2016,Hambantota,H-1,1530.0,1525.0
16.02.2016,Average Price,C-5,1700.0,1594.0
16.02.2016,Hambantota,C-5 Sp,1700.0,1700.0
16.02.2016,Hambantota,C-5,1600.0,1600.0
16.02.2016,Hambantota,H-2,1470.0,1465.0
16.02.2016,Monaragala,Gorosu,1000.0,950.0
16.02.2016,Average Price,Alba,2200.0,2076.6
16.02.2016,Average Price,C-5 Sp,1850.0,1711.83
16.02.2016,Galle,H-2,1480.0,1470.0
16.02.2016,Matara,H-Faq,1350.0,1337.0
16.02.2016,Average Price,M-4,1540.0,1331.0
16.02.2016,Average Price,H-1,1530.0,1368.5
16.02.2016,Average Price,H-2,1480.0,1307.5
16.02.2016,Average Price,H-Faq,1350.0,1337.0
16.02.2016,Galle,H-1,1500.0,1500.0
16.02.2016,Matara,Alba,2100.0,2100.0
16.02.2016,Average Price,Heen,1400.0,1145.5
16.02.2016,Matara,H-2,1480.0,1464.0
16.02.2016,Ratnapura,C-5 Sp,1650.0,1616.0
16.02.2016,Badulla,C-5,1550.0,1550.0
16.02.2016,Kalutara,H-1,1100.0,1060.0
16.02.2016,Kalutara,Alba,2000.0,2000.0
16.02.2016,Kalutara,H-2,1000.0,960.0
16.02.2016,Ratnapura,M-5,1300.0,1283.0
16.02.2016,Ratnapura,H-1,1250.0,1233.0
16.02.2016,Ratnapura,H-2,1200.0,1186.0
16.02.2016,Ratnapura,C-5,1550.0,1533.0
16.02.2016,Ratnapura,C-4,1450.0,1450.0
16.02.2016,Ratnapura,M-4,1300.0,1283.0
16.02.2016,Galle,C-5 Sp,1850.0,1830.0
16.02.2016,Kalutara,C-5 Sp,1700.0,1650.0
16.02.2016,Badulla,Gorosu,900.0,775.0
16.02.2016,Colombo,C-5,1700.0,1700.0
16.02.2016,Colombo,C-4,1575.0,1575.0
16.02.2016,Kurunegala,Heen,1250.0,1216.0
16.02.2016,Kurunegala,Gorosu,800.0,703.0
16.02.2016,Colombo,C-5 Sp,1750.0,1750.0
16.02.2016,Kalutara,M-4,1200.0,1180.0
16.02.2016,Kalutara,M-5,1300.0,1300.0
16.02.2016,Kalutara,C-4,1420.0,1410.0
16.02.2016,Kalutara,C-5,1500.0,1500.0
16.02.2016,Ratnapura,Alba,2100.0,2033.0
16.02.2016,Badulla,Heen,1400.0,1075.0
16.02.2016,Gampaha,Gorosu,900.0,825.0
16.02.2016,Gampaha,C-4,1250.0,1115.0
16.02.2016,Colombo,H-2,1300.0,1300.0
16.02.2016,Colombo,H-1,1400.0,1400.0
16.02.2016,Galle,Alba,2200.0,2150.0
16.02.2016,Badulla,C-4,1500.0,1500.0
23.02.2016,Galle,H-2,1490.0,1480.0
23.02.2016,Hambantota,H-2,1470.0,1465.0
23.02.2016,Ratnapura,Alba,2200.0,2100.0
23.02.2016,Galle,C-5,1650.0,1345.0
23.02.2016,Average Price,M-5,1590.0,1354.33
23.02.2016,Matara,C-5,1700.0,1700.0
23.02.2016,Average Price,M-4,1580.0,1316.67
23.02.2016,Matara,M-5,1590.0,1563.0
23.02.2016,Hambantota,C-5 Sp,1700.0,1700.0
23.02.2016,Galle,C-5 Sp,1850.0,1825.0
23.02.2016,Hambantota,C-4,1570.0,1570.0
23.02.2016,Kurunegala,Gorosu,850.0,783.0
23.02.2016,Average Price,Gorosu,1300.0,850.67
23.02.2016,Matara,H-2,1480.0,1458.0
23.02.2016,Badulla,C-5,1550.0,1550.0
23.02.2016,Hambantota,H-1,1530.0,1525.0
23.02.2016,Badulla,Heen,1300.0,1050.0
23.02.2016,Average Price,Heen,1300.0,1150.0
23.02.2016,Average Price,H-Faq,1400.0,1350.0
23.02.2016,Average Price,H-2,1500.0,1322.67
23.02.2016,Average Price,H-1,1550.0,1412.83
23.02.2016,Ratnapura,H-1,1300.0,1300.0
23.02.2016,Kurunegala,Heen,1300.0,1250.0
23.02.2016,Average Price,C-4,1650.0,1481.63
23.02.2016,Average Price,C-5,1700.0,1570.71
23.02.2016,Average Price,C-5 Sp,1850.0,1726.67
23.02.2016,Average Price,Alba,2200.0,2092.4
23.02.2016,Ratnapura,C-5 Sp,1650.0,1650.0
23.02.2016,Ratnapura,C-4,1450.0,1383.0
23.02.2016,Ratnapura,M-5,1300.0,1250.0
23.02.2016,Matara,M-4,1580.0,1550.0
